"V1" "V2" "V3" "V4"
"84" "A_1101" "abaca" "polyG" "-4.6"
"85" "A_1101" "allop" "nopep" "-5.5"
"86" "A_1101" "allop" "polyA" "-4.6"
"87" "A_1101" "allop" "polyG" "-5.2"
"88" "A_1101" "cbz" "nopep" "-4.4"
"89" "A_1101" "cbz" "polyA" "3.3"
"90" "A_1101" "cbz" "polyG" "0.8"
"91" "A_2301" "abaca" "nopep" "-7"
"92" "A_2301" "abaca" "polyA" "7.1"
"93" "A_2301" "abaca" "polyG" "1.2"
"94" "A_2301" "allop" "nopep" "-6"
"95" "A_2301" "allop" "polyA" "-3.8"
"96" "A_2301" "allop" "polyG" "-6"
"97" "A_2301" "cbz" "nopep" "-7.8"
"98" "A_2301" "cbz" "polyA" "4.3"
"99" "A_2301" "cbz" "polyG" "-4"
"100" "A_2402" "abaca" "nopep" "-7.3"
"101" "A_2402" "abaca" "polyA" "4.2"
"102" "A_2402" "abaca" "polyG" "-0.9"
"103" "A_2402" "allop" "nopep" "-6.2"
"104" "A_2402" "allop" "polyA" "-4.6"
"105" "A_2402" "allop" "polyG" "-6.3"
"106" "A_2402" "cbz" "nopep" "-7.7"
"107" "A_2402" "cbz" "polyA" "4.4"
"108" "A_2402" "cbz" "polyG" "-4.6"
"109" "A_2601" "abaca" "nopep" "-4.5"
"110" "A_2601" "abaca" "polyA" "3.8"
"111" "A_2601" "abaca" "polyG" "1.4"
"112" "A_2601" "allop" "nopep" "-5.4"
"113" "A_2601" "allop" "polyA" "-4.5"
"114" "A_2601" "allop" "polyG" "-4.6"
"115" "A_2601" "cbz" "nopep" "-2"
"116" "A_2601" "cbz" "polyA" "8.5"
"117" "A_2601" "cbz" "polyG" "5.9"
"118" "A_2902" "abaca" "nopep" "-8.2"
"119" "A_2902" "abaca" "polyA" "-8.1"
"120" "A_2902" "abaca" "polyG" "-9.4"
"121" "A_2902" "allop" "nopep" "-5.9"
"122" "A_2902" "allop" "polyA" "-5.8"
"123" "A_2902" "allop" "polyG" "-6.3"
"124" "A_2902" "cbz" "nopep" "-8.1"
"125" "A_2902" "cbz" "polyA" "-5.8"
"126" "A_2902" "cbz" "polyG" "-5.9"
"127" "A_3001" "abaca" "nopep" "-7"
"128" "A_3001" "abaca" "polyA" "-0.7"
"129" "A_3001" "abaca" "polyG" "-6.4"
"130" "A_3001" "allop" "nopep" "-5.8"
"131" "A_3001" "allop" "polyA" "-5.6"
"132" "A_3001" "allop" "polyG" "-5.6"
"133" "A_3001" "cbz" "nopep" "-8.3"
"134" "A_3001" "cbz" "polyA" "2.9"
"135" "A_3001" "cbz" "polyG" "-3.2"
"136" "A_3002" "abaca" "nopep" "-6.6"
"137" "A_3002" "abaca" "polyA" "-1.9"
"138" "A_3002" "abaca" "polyG" "-7.5"
"139" "A_3002" "allop" "nopep" "-5.6"
"140" "A_3002" "allop" "polyA" "-5.2"
"141" "A_3002" "allop" "polyG" "-5.4"
"142" "A_3002" "cbz" "nopep" "-6.4"
"143" "A_3002" "cbz" "polyA" "-5.1"
"144" "A_3002" "cbz" "polyG" "-5.5"
"145" "A_3101" "abaca" "nopep" "-6.3"
"146" "A_3101" "abaca" "polyA" "-3.8"
"147" "A_3101" "abaca" "polyG" "-5"
"148" "A_3101" "allop" "nopep" "-5.3"
"149" "A_3101" "allop" "polyA" "-4.9"
"150" "A_3101" "allop" "polyG" "-6.4"
"151" "A_3101" "cbz" "nopep" "-5.9"
"152" "A_3101" "cbz" "polyA" "1.6"
"153" "A_3101" "cbz" "polyG" "0.5"
"154" "A_3201" "abaca" "nopep" "-6.7"
"155" "A_3201" "abaca" "polyA" "-5.3"
"156" "A_3201" "abaca" "polyG" "-6.4"
"157" "A_3201" "allop" "nopep" "-6.1"
"158" "A_3201" "allop" "polyA" "-5.5"
"159" "A_3201" "allop" "polyG" "-6.3"
"160" "A_3201" "cbz" "nopep" "-9.6"
"161" "A_3201" "cbz" "polyA" "-7.8"
"162" "A_3201" "cbz" "polyG" "-7.2"
"163" "A_3301" "abaca" "nopep" "-6.5"
"164" "A_3301" "abaca" "polyA" "-4"
"165" "A_3301" "abaca" "polyG" "-4.6"
"166" "A_3301" "allop" "nopep" "-5.3"
"167" "A_3301" "allop" "polyA" "-5.3"
"168" "A_3301" "allop" "polyG" "-5.1"
"169" "A_3301" "cbz" "nopep" "-8"
"170" "A_3301" "cbz" "polyA" "-5.2"
"171" "A_3301" "cbz" "polyG" "-5"
"172" "A_6601" "abaca" "nopep" "-6.1"
"173" "A_6601" "abaca" "polyA" "-4.1"
"174" "A_6601" "abaca" "polyG" "-4.4"
"175" "A_6601" "allop" "nopep" "-5.3"
"176" "A_6601" "allop" "polyA" "-4.5"
"177" "A_6601" "allop" "polyG" "-5"
"178" "A_6601" "cbz" "nopep" "-4.5"
"179" "A_6601" "cbz" "polyA" "5.3"
"180" "A_6601" "cbz" "polyG" "3.2"
"181" "A_6801" "abaca" "nopep" "-6.8"
"182" "A_6801" "abaca" "polyA" "0.6"
"183" "A_6801" "abaca" "polyG" "-2"
"184" "A_6801" "allop" "nopep" "-5.9"
"185" "A_6801" "allop" "polyA" "-4.7"
"186" "A_6801" "allop" "polyG" "-5.8"
"187" "A_6801" "cbz" "nopep" "-4.4"
"188" "A_6801" "cbz" "polyA" "5.6"
"189" "A_6801" "cbz" "polyG" "0.4"
"190" "A_6802" "abaca" "nopep" "-4.9"
"191" "A_6802" "abaca" "polyA" "9.6"
"192" "A_6802" "abaca" "polyG" "4.9"
"193" "A_6802" "allop" "nopep" "-5.2"
"194" "A_6802" "allop" "polyA" "-5.1"
"195" "A_6802" "allop" "polyG" "-5.1"
"196" "A_6802" "cbz" "nopep" "-5.4"
"197" "A_6802" "cbz" "polyA" "17.4"
"198" "A_6802" "cbz" "polyG" "13.4"
"199" "A_7401" "abaca" "nopep" "-6.8"
"200" "A_7401" "abaca" "polyA" "-5.9"
"201" "A_7401" "abaca" "polyG" "-5.7"
"202" "A_7401" "allop" "nopep" "-5.7"
"203" "A_7401" "allop" "polyA" "-5.6"
"204" "A_7401" "allop" "polyG" "-5.4"
"205" "A_7401" "cbz" "nopep" "-7.4"
"206" "A_7401" "cbz" "polyA" "-1.7"
"207" "A_7401" "cbz" "polyG" "-1.8"
"208" "B_0702" "abaca" "nopep" "-7.5"
"209" "B_0702" "abaca" "polyA" "-7.3"
"210" "B_0702" "abaca" "polyG" "-7.9"
"211" "B_0702" "allop" "nopep" "-5.9"
"212" "B_0702" "allop" "polyA" "-6.3"
"213" "B_0702" "allop" "polyG" "-6.2"
"214" "B_0702" "cbz" "nopep" "-7.6"
"215" "B_0702" "cbz" "polyA" "-5.5"
"216" "B_0702" "cbz" "polyG" "-5.4"
"217" "B_0801" "abaca" "nopep" "-6.9"
"218" "B_0801" "abaca" "polyA" "-7.3"
"219" "B_0801" "abaca" "polyG" "-6.9"
"220" "B_0801" "allop" "nopep" "-5.4"
"221" "B_0801" "allop" "polyA" "-5.1"
"222" "B_0801" "allop" "polyG" "-4.9"
"223" "B_0801" "cbz" "nopep" "-7.2"
"224" "B_0801" "cbz" "polyA" "-7.3"
"225" "B_0801" "cbz" "polyG" "-6.8"
"226" "B_1401" "abaca" "nopep" "-6.9"
"227" "B_1401" "abaca" "polyA" "-5.9"
"228" "B_1401" "abaca" "polyG" "-6.2"
"229" "B_1401" "allop" "nopep" "-5.8"
"230" "B_1401" "allop" "polyA" "-6.4"
"231" "B_1401" "allop" "polyG" "-6.3"
"232" "B_1401" "cbz" "nopep" "-9.3"
"233" "B_1401" "cbz" "polyA" "-6.4"
"234" "B_1401" "cbz" "polyG" "-6.8"
"235" "B_1402" "abaca" "nopep" "-7.3"
"236" "B_1402" "abaca" "polyA" "-6.3"
"237" "B_1402" "abaca" "polyG" "-6.8"
"238" "B_1402" "allop" "nopep" "-5.4"
"239" "B_1402" "allop" "polyA" "-6.1"
"240" "B_1402" "allop" "polyG" "-5.9"
"241" "B_1402" "cbz" "nopep" "-8.6"
"242" "B_1402" "cbz" "polyA" "-10"
"243" "B_1402" "cbz" "polyG" "-9.4"
"244" "B_1501" "abaca" "nopep" "-6.9"
"245" "B_1501" "abaca" "polyA" "-6.5"
"246" "B_1501" "abaca" "polyG" "-6.7"
"247" "B_1501" "allop" "nopep" "-5.6"
"248" "B_1501" "allop" "polyA" "-6.6"
"249" "B_1501" "allop" "polyG" "-6.6"
"250" "B_1501" "cbz" "nopep" "-8"
"251" "B_1501" "cbz" "polyA" "-5.8"
"252" "B_1501" "cbz" "polyG" "-7.9"
"253" "B_1502" "abaca" "nopep" "-7.3"
"254" "B_1502" "abaca" "polyA" "-7.2"
"255" "B_1502" "abaca" "polyG" "-7.4"
"256" "B_1502" "allop" "nopep" "-5.8"
"257" "B_1502" "allop" "polyA" "-6.3"
"258" "B_1502" "allop" "polyG" "-6.1"
"259" "B_1502" "cbz" "nopep" "-8.4"
"260" "B_1502" "cbz" "polyA" "-6"
"261" "B_1502" "cbz" "polyG" "-6.4"
"262" "B_1503" "abaca" "nopep" "-7"
"263" "B_1503" "abaca" "polyA" "-6.4"
"264" "B_1503" "abaca" "polyG" "-6.3"
"265" "B_1503" "allop" "nopep" "-5.7"
"266" "B_1503" "allop" "polyA" "-6.4"
"267" "B_1503" "allop" "polyG" "-6.1"
"268" "B_1503" "cbz" "nopep" "-8.4"
"269" "B_1503" "cbz" "polyA" "-6.3"
"270" "B_1503" "cbz" "polyG" "-8.6"
"271" "B_1801" "abaca" "nopep" "-6.8"
"272" "B_1801" "abaca" "polyA" "-6.3"
"273" "B_1801" "abaca" "polyG" "-6.3"
"274" "B_1801" "allop" "nopep" "-6.5"
"275" "B_1801" "allop" "polyA" "-6.5"
"276" "B_1801" "allop" "polyG" "-6.8"
"277" "B_1801" "cbz" "nopep" "-7.7"
"278" "B_1801" "cbz" "polyA" "-5.4"
"279" "B_1801" "cbz" "polyG" "-6.2"
"280" "B_2705" "abaca" "nopep" "-5.7"
"281" "B_2705" "abaca" "polyA" "-6.6"
"282" "B_2705" "abaca" "polyG" "-6.2"
"283" "B_2705" "allop" "nopep" "-5.5"
"284" "B_2705" "allop" "polyA" "-5.2"
"285" "B_2705" "allop" "polyG" "-5"
"286" "B_2705" "cbz" "nopep" "-5.8"
"287" "B_2705" "cbz" "polyA" "-7"
"288" "B_2705" "cbz" "polyG" "-6.4"
"289" "B_3501" "abaca" "nopep" "-7.0"
"290" "B_3501" "abaca" "polyA" "-6.1"
"291" "B_3501" "abaca" "polyG" "-5.8"
"292" "B_3501" "allop" "nopep" "-5.7"
"293" "B_3501" "allop" "polyA" "-5.9"
"294" "B_3501" "allop" "polyG" "-5.8"
"295" "B_3501" "cbz" "nopep" "-7.3"
"296" "B_3501" "cbz" "polyA" "-6.4"
"297" "B_3501" "cbz" "polyG" "-6"
"298" "B_3503" "abaca" "nopep" "-5.7"
"299" "B_3503" "abaca" "polyA" "3.2"
"300" "B_3503" "abaca" "polyG" "-0.3"
"301" "B_3503" "allop" "nopep" "-5.7"
"302" "B_3503" "allop" "polyA" "-4.2"
"303" "B_3503" "allop" "polyG" "-4.7"
"304" "B_3503" "cbz" "nopep" "-7.2"
"305" "B_3503" "cbz" "polyA" "4.1"
"306" "B_3503" "cbz" "polyG" "4.5"
"307" "B_3508" "abaca" "nopep" "-7.0"
"308" "B_3508" "abaca" "polyA" "-6.1"
"309" "B_3508" "abaca" "polyG" "-6"
"310" "B_3508" "allop" "nopep" "-5.5"
"311" "B_3508" "allop" "polyA" "-6.3"
"312" "B_3508" "allop" "polyG" "-6.1"
"313" "B_3508" "cbz" "nopep" "-7.8"
"314" "B_3508" "cbz" "polyA" "-5.8"
"315" "B_3508" "cbz" "polyG" "-6.4"
"316" "B_3701" "abaca" "nopep" "-7.4"
"317" "B_3701" "abaca" "polyA" "-5.6"
"318" "B_3701" "abaca" "polyG" "-7.9"
"319" "B_3701" "allop" "nopep" "-6.1"
"320" "B_3701" "allop" "polyA" "-6"
"321" "B_3701" "allop" "polyG" "-6.5"
"322" "B_3701" "cbz" "nopep" "-8.4"
"323" "B_3701" "cbz" "polyA" "-7.2"
"324" "B_3701" "cbz" "polyG" "-7.4"
"325" "B_3801" "abaca" "nopep" "-7"
"326" "B_3801" "abaca" "polyA" "-4.2"
"327" "B_3801" "abaca" "polyG" "-3.9"
"328" "B_3801" "allop" "nopep" "-5.9"
"329" "B_3801" "allop" "polyA" "-5.2"
"330" "B_3801" "allop" "polyG" "-5.8"
"331" "B_3801" "cbz" "nopep" "-6.4"
"332" "B_3801" "cbz" "polyA" "-5.7"
"333" "B_3801" "cbz" "polyG" "-6"
"334" "B_4001" "abaca" "nopep" "-6"
"335" "B_4001" "abaca" "polyA" "-3.3"
"336" "B_4001" "abaca" "polyG" "-5.5"
"337" "B_4001" "allop" "nopep" "-5"
"338" "B_4001" "allop" "polyA" "-5.7"
"339" "B_4001" "allop" "polyG" "-5.5"
"340" "B_4001" "cbz" "nopep" "-9"
"341" "B_4001" "cbz" "polyA" "-1.9"
"342" "B_4001" "cbz" "polyG" "-4.9"
"343" "B_4002" "abaca" "nopep" "-6.5"
"344" "B_4002" "abaca" "polyA" "-7.7"
"345" "B_4002" "abaca" "polyG" "-7.4"
"346" "B_4002" "allop" "nopep" "-5.1"
"347" "B_4002" "allop" "polyA" "-5.5"
"348" "B_4002" "allop" "polyG" "-5.4"
"349" "B_4002" "cbz" "nopep" "-7.7"
"350" "B_4002" "cbz" "polyA" "-6.6"
"351" "B_4002" "cbz" "polyG" "-7.5"
"352" "B_4201" "abaca" "nopep" "-6.8"
"353" "B_4201" "abaca" "polyA" "-8"
"354" "B_4201" "abaca" "polyG" "-7.7"
"355" "B_4201" "allop" "nopep" "-5.2"
"356" "B_4201" "allop" "polyA" "-5.5"
"357" "B_4201" "allop" "polyG" "-5.4"
"358" "B_4201" "cbz" "nopep" "-7.5"
"359" "B_4201" "cbz" "polyA" "-6.5"
"360" "B_4201" "cbz" "polyG" "-6.2"
"361" "B_4402" "abaca" "nopep" "-6.1"
"362" "B_4402" "abaca" "polyA" "-0.6"
"363" "B_4402" "abaca" "polyG" "-1"
"364" "B_4402" "allop" "nopep" "-6.3"
"365" "B_4402" "allop" "polyA" "-6"
"366" "B_4402" "allop" "polyG" "-6.5"
"367" "B_4402" "cbz" "nopep" "-5.4"
"368" "B_4402" "cbz" "polyA" "2.6"
"369" "B_4402" "cbz" "polyG" "-0.1"
"370" "B_4403" "abaca" "nopep" "-6.8"
"371" "B_4403" "abaca" "polyA" "-2.1"
"372" "B_4403" "abaca" "polyG" "-3.5"
"373" "B_4403" "allop" "nopep" "-6.1"
"374" "B_4403" "allop" "polyA" "-5.4"
"375" "B_4403" "allop" "polyG" "-6.2"
"376" "B_4403" "cbz" "nopep" "-6.7"
"377" "B_4403" "cbz" "polyA" "3.9"
"378" "B_4403" "cbz" "polyG" "0"
"379" "B_4501" "abaca" "nopep" "-5.7"
"380" "B_4501" "abaca" "polyA" "-0.5"
"381" "B_4501" "abaca" "polyG" "-1.4"
"382" "B_4501" "allop" "nopep" "-5.3"
"383" "B_4501" "allop" "polyA" "-5.5"
"384" "B_4501" "allop" "polyG" "-5.6"
"385" "B_4501" "cbz" "nopep" "-7.4"
"386" "B_4501" "cbz" "polyA" "-0.7"
"387" "B_4501" "cbz" "polyG" "-2.3"
"388" "B_5101" "abaca" "nopep" "-8.3"
"389" "B_5101" "abaca" "polyA" "-9.1"
"390" "B_5101" "abaca" "polyG" "-9.1"
"391" "B_5101" "allop" "nopep" "-5.4"
"392" "B_5101" "allop" "polyA" "-6.1"
"393" "B_5101" "allop" "polyG" "-6"
"394" "B_5101" "cbz" "nopep" "-8.7"
"395" "B_5101" "cbz" "polyA" "-8.8"
"396" "B_5101" "cbz" "polyG" "-8.4"
"397" "B_5201" "abaca" "nopep" "-5"
"398" "B_5201" "abaca" "polyA" "-2.3"
"399" "B_5201" "abaca" "polyG" "-4"
"400" "B_5201" "allop" "nopep" "-6.2"
"401" "B_5201" "allop" "polyA" "-6.6"
"402" "B_5201" "allop" "polyG" "-6.5"
"403" "B_5201" "cbz" "nopep" "-3.9"
"404" "B_5201" "cbz" "polyA" "-5.4"
"405" "B_5201" "cbz" "polyG" "-3.8"
"406" "B_5301" "abaca" "nopep" "-8"
"407" "B_5301" "abaca" "polyA" "-7.5"
"408" "B_5301" "abaca" "polyG" "-7.1"
"409" "B_5301" "allop" "nopep" "-6.2"
"410" "B_5301" "allop" "polyA" "-6.1"
"411" "B_5301" "allop" "polyG" "-6.2"
"412" "B_5301" "cbz" "nopep" "-7.4"
"413" "B_5301" "cbz" "polyA" "-7.2"
"414" "B_5301" "cbz" "polyG" "-6.8"
"415" "B_5401" "abaca" "nopep" "-6.6"
"416" "B_5401" "abaca" "polyA" "-6.6"
"417" "B_5401" "abaca" "polyG" "-7.4"
"418" "B_5401" "allop" "nopep" "-5.9"
"419" "B_5401" "allop" "polyA" "-6.2"
"420" "B_5401" "allop" "polyG" "-6.1"
"421" "B_5401" "cbz" "nopep" "-8.4"
"422" "B_5401" "cbz" "polyA" "-7.4"
"423" "B_5401" "cbz" "polyG" "-8.9"
"424" "B_5701" "abaca" "nopep" "-7.4"
"425" "B_5701" "abaca" "polyA" "-8.8"
"426" "B_5701" "abaca" "polyG" "-8.2"
"427" "B_5701" "allop" "nopep" "-6.2"
"428" "B_5701" "allop" "polyA" "-5.5"
"429" "B_5701" "allop" "polyG" "-6.4"
"430" "B_5701" "cbz" "nopep" "-8.4"
"431" "B_5701" "cbz" "polyA" "-9"
"432" "B_5701" "cbz" "polyG" "-9.4"
"433" "B_5703" "abaca" "nopep" "-7.8"
"434" "B_5703" "abaca" "polyA" "-7.6"
"435" "B_5703" "abaca" "polyG" "-7.6"
"436" "B_5703" "allop" "nopep" "-6"
"437" "B_5703" "allop" "polyA" "-5.6"
"438" "B_5703" "allop" "polyG" "-6.1"
"439" "B_5703" "cbz" "nopep" "-7.8"
"440" "B_5703" "cbz" "polyA" "-8.4"
"441" "B_5703" "cbz" "polyG" "-8.4"
"442" "B_5801" "abaca" "nopep" "-7.6"
"443" "B_5801" "abaca" "polyA" "-5.4"
"444" "B_5801" "abaca" "polyG" "-5.2"
"445" "B_5801" "allop" "nopep" "-6.5"
"446" "B_5801" "allop" "polyA" "-6"
"447" "B_5801" "allop" "polyG" "-6.8"
"448" "B_5801" "cbz" "nopep" "-6.2"
"449" "B_5801" "cbz" "polyA" "-7.3"
"450" "B_5801" "cbz" "polyG" "-7.4"
"451" "B_5802" "abaca" "nopep" "-6.1"
"452" "B_5802" "abaca" "polyA" "-4.2"
"453" "B_5802" "abaca" "polyG" "-6.6"
"454" "B_5802" "allop" "nopep" "-5.4"
"455" "B_5802" "allop" "polyA" "-5.9"
"456" "B_5802" "allop" "polyG" "-5.5"
"457" "B_5802" "cbz" "nopep" "-6.6"
"458" "B_5802" "cbz" "polyA" "-8.8"
"459" "B_5802" "cbz" "polyG" "-7.9"
"460" "C_0401" "abaca" "nopep" "-6.9"
"461" "C_0401" "abaca" "polyA" "-0.5"
"462" "C_0401" "abaca" "polyG" "-1.3"
"463" "C_0401" "allop" "nopep" "-4.9"
"464" "C_0401" "allop" "polyA" "-5.6"
"465" "C_0401" "allop" "polyG" "-5.7"
"466" "C_0401" "cbz" "nopep" "-8.5"
"467" "C_0401" "cbz" "polyA" "1.5"
"468" "C_0401" "cbz" "polyG" "2.2"
"469" "C_0602" "abaca" "nopep" "-7.1"
"470" "C_0602" "abaca" "polyA" "-4"
"471" "C_0602" "abaca" "polyG" "-5.1"
"472" "C_0602" "allop" "nopep" "-5"
"473" "C_0602" "allop" "polyA" "-5"
"474" "C_0602" "allop" "polyG" "-5.3"
"475" "C_0602" "cbz" "nopep" "-7.6"
"476" "C_0602" "cbz" "polyA" "-2.1"
"477" "C_0602" "cbz" "polyG" "-4.9"
"478" "C_0702" "abaca" "nopep" "-6.3"
"479" "C_0702" "abaca" "polyA" "-5.4"
"480" "C_0702" "abaca" "polyG" "-6.4"
"481" "C_0702" "allop" "nopep" "-5"
"482" "C_0702" "allop" "polyA" "-5.1"
"483" "C_0702" "allop" "polyG" "-5.1"
"484" "C_0702" "cbz" "nopep" "-6.7"
"485" "C_0702" "cbz" "polyA" "-7.7"
"486" "C_0702" "cbz" "polyG" "-7.8"
